Mag Int,Decade,count
1,2000,1
2,2000,1
2,2010,2
3,1970,1
3,1980,1
3,1990,3
3,2000,6
3,2010,14
4,1900,1
4,1910,3
4,1920,2
4,1940,3
4,1950,1
4,1960,15
4,1970,21
4,1980,42
4,1990,30
4,2000,122
4,2010,48
4,2020,3
5,1900,16
5,1910,14
5,1920,36
5,1930,28
5,1940,18
5,1950,32
5,1960,66
5,1970,72
5,1980,103
5,1990,85
5,2000,207
5,2010,206
5,2020,8
6,1900,41
6,1910,39
6,1920,48
6,1930,67
6,1940,44
6,1950,59
6,1960,92
6,1970,92
6,1980,112
6,1990,122
6,2000,162
6,2010,183
6,2020,10
7,1900,100
7,1910,90
7,1920,78
7,1930,72
7,1940,76
7,1950,87
7,1960,88
7,1970,99
7,1980,52
7,1990,82
7,2000,87
7,2010,106
7,2020,8
8,1900,22
8,1910,18
8,1920,6
8,1930,9
8,1940,13
8,1950,8
8,1960,8
8,1970,6
8,1980,5
8,1990,6
8,2000,11
8,2010,9
9,1950,1
9,1960,2
9,2000,1
9,2010,1
