Year,Country,Location Name,Mag,Latitude,Longitude
-373.0,GRC,GREECE,7.3,38.25,22.25
-223.0,GRC,GREECE,,,
23.0,GRC,GREECE,,38.2,22.2
1469.0,GRC,GREECE,,38.5,20.5
1612.0,GRC,GREECE,,38.8,20.8
1625.0,GRC,GREECE,,38.8,20.8
1658.0,GRC,GREECE,,38.0,21.0
1704.0,GRC,GREECE,,38.8,20.8
1741.0,GRC,GREECE,,38.5,20.5
1759.0,GRC,GREECE,,38.0,20.5
1766.0,GRC,GREECE,,38.0,20.5
1767.0,GRC,GREECE,,38.2,20.2
1769.0,GRC,GREECE,,38.8,20.8
1870.0,GRC,GREECE,7.5,38.5,22.5
1928.0,GRC,GREECE,5.2,38.0,23.0
1931.0,GRC,GREECE,6.9,41.0,22.5
1954.0,GRC,GREECE,7.0,39.8,22.1
1965.0,GRC,GREECE,7.1,38.6,22.4
1967.0,GRC,GREECE,6.0,38.4,22.0
1967.0,GRC,GREECE,5.9,39.5,21.2
-330.0,GRC,GREECE:  AEGEAN SEA,7.0,40.0,25.0
1389.0,GRC,GREECE:  AEGEAN SEA,,38.5,26.5
1688.0,GRC,GREECE:  AEGEAN SEA,7.5,38.4,26.9
1866.0,GRC,GREECE:  AEGEAN SEA,,,
1881.0,GRC,GREECE:  AEGEAN SEA,,38.4,26.1
1905.0,GRC,GREECE:  AEGEAN SEA,7.2,40.092,24.627
1928.0,GRC,GREECE:  AEGEAN SEA,5.0,38.0,23.5
1955.0,GRC,GREECE:  AEGEAN SEA,6.0,39.5,23.0
1956.0,GRC,GREECE:  AEGEAN SEA,6.8,36.8,25.2
1962.0,GRC,GREECE:  AEGEAN SEA,4.5,39.8,25.0
1983.0,GRC,GREECE:  AEGEAN SEA,7.0,40.141999999999996,24.766
-227.0,GRC,GREECE:  DODECANESE ISLANDS,7.2,36.3,28.3
155.0,GRC,GREECE:  DODECANESE ISLANDS,,36.5,28.5
1483.0,GRC,GREECE:  DODECANESE ISLANDS,,36.2,27.5
1490.0,GRC,GREECE:  DODECANESE ISLANDS,,36.5,27.0
1493.0,GRC,GREECE:  DODECANESE ISLANDS,,36.8,27.0
1672.0,GRC,GREECE:  DODECANESE ISLANDS,,36.5,25.5
1933.0,GRC,GREECE:  DODECANESE ISLANDS,6.4,36.759,27.299
1948.0,GRC,GREECE:  DODECANESE ISLANDS,7.1,35.8,27.19
-186.0,CHN,CHINA:  GANSU PROVINCE,7.0,33.8,105.6
138.0,CHN,CHINA:  GANSU PROVINCE,6.8,35.8,103.5
143.0,CHN,CHINA:  GANSU PROVINCE,7.0,34.7,105.3
