Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Era,Decade,Century,Country,Label Name
1900.0,12.0,25.0,5.0,9.0,0.0,,,RUSSIA:  KURIL ISLANDS,43.0,146.0,40.0,7.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,,BC,190,20,RUSSIA,"Year: 1900 
  Location: RUSSIA:  KURIL ISLANDS"
1901.0,8.0,9.0,18.0,33.0,45.0,1282.0,,JAPAN:  OFF NORTHEAST COAST HONSHU,40.6,142.3,33.0,8.2,,18.0,1.0,,,,,,2.0,8.0,1.0,,,18.0,1.0,,,,,,2.0,8.0,1.0,,,BC,190,20,JAPAN,"Year: 1901 
  Location: JAPAN:  OFF NORTHEAST COAST HONSHU"
1902.0,9.0,22.0,1.0,46.0,30.0,,,GUAM:  AGANA,18.0,146.0,33.0,8.1,9.0,,,,,,1.0,,3.0,,,,,,,,,,1.0,,3.0,,,,,BC,190,20,GUAM,"Year: 1902 
  Location: GUAM:  AGANA"
1903.0,1.0,4.0,5.0,7.0,0.0,,,TONGA ISLANDS,-20.0,-175.0,400.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,BC,190,20,TONGA ISLANDS,"Year: 1903 
  Location: TONGA ISLANDS"
1904.0,6.0,25.0,14.0,45.0,36.0,1312.0,,RUSSIA:  OFF KAMCHATKA,52.0,159.0,30.0,8.3,10.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,BC,190,20,RUSSIA,"Year: 1904 
  Location: RUSSIA:  OFF KAMCHATKA"
1905.0,1.0,22.0,2.0,43.0,54.0,,,INDONESIA:  MINAHASSA PENINSULA,1.0,123.0,90.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,BC,190,20,INDONESIA,"Year: 1905 
  Location: INDONESIA:  MINAHASSA PENINSULA"
1906.0,1.0,31.0,15.0,35.0,51.0,1331.0,,ECUADOR:  OFF COAST,1.0,-81.5,25.0,8.6,9.0,1000.0,3.0,,,,,,2.0,,3.0,,,1000.0,3.0,,,,,,3.0,,3.0,,,BC,190,20,ECUADOR,"Year: 1906 
  Location: ECUADOR:  OFF COAST"
1907.0,4.0,15.0,6.0,8.0,6.0,1353.0,,MEXICO:  GUERRERO,17.0,-100.0,60.0,8.3,,8.0,1.0,,,,,,2.0,,3.0,,,8.0,1.0,,,,,,2.0,,3.0,,,BC,190,20,MEXICO,"Year: 1907 
  Location: MEXICO:  GUERRERO"
1908.0,3.0,26.0,23.0,3.0,30.0,,,MEXICO:  GUERRERO,18.0,-99.0,80.0,8.1,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,BC,190,20,MEXICO,"Year: 1908 
  Location: MEXICO:  GUERRERO"
1909.0,7.0,7.0,21.0,37.0,50.0,,,AFGHANISTAN:  HINDU-KUSH,36.5,70.5,230.0,8.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,BC,190,20,AFGHANISTAN,"Year: 1909 
  Location: AFGHANISTAN:  HINDU-KUSH"
1910.0,11.0,26.0,4.0,39.0,0.0,,,SOLOMON ISLANDS,-8.0,167.0,33.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,BC,191,20,SOLOMON ISLANDS,"Year: 1910 
  Location: SOLOMON ISLANDS"
1911.0,6.0,15.0,14.0,26.0,,1396.0,,JAPAN:  RYUKYU ISLANDS,28.0,130.0,160.0,8.0,,12.0,1.0,,,,,,3.0,422.0,3.0,,,12.0,1.0,,,,,,3.0,422.0,3.0,,,BC,191,20,JAPAN,"Year: 1911 
  Location: JAPAN:  RYUKYU ISLANDS"
1912.0,5.0,23.0,2.0,24.0,6.0,,,"MYANMAR (BURMA):  MANDALAY, MOGOK, MAYMYO",21.0,97.0,25.0,8.0,9.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,BC,191,20,MYANMAR (BURMA),"Year: 1912 
  Location: MYANMAR (BURMA):  MANDALAY, MOGOK, MAYMYO"
1913.0,10.0,14.0,8.0,8.0,48.0,,,VANUATU ISLANDS,-19.5,169.0,230.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,BC,191,20,VANUATU ISLANDS,"Year: 1913 
  Location: VANUATU ISLANDS"
1914.0,5.0,26.0,14.0,22.0,47.7,1416.0,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN,-1.829,136.94299999999998,15.0,8.1,9.0,,3.0,,,,,,2.0,,3.0,,,,3.0,,,,,,2.0,,3.0,,,BC,191,20,INDONESIA,"Year: 1914 
  Location: INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN"
1915.0,5.0,1.0,5.0,0.0,0.0,,,RUSSIA:  KURIL ISLANDS,47.0,155.0,25.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,BC,191,20,RUSSIA,"Year: 1915 
  Location: RUSSIA:  KURIL ISLANDS"
1916.0,1.0,13.0,6.0,18.0,16.0,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3.0,136.0,30.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,BC,191,20,INDONESIA,"Year: 1916 
  Location: INDONESIA:  NEW GUINEA:  IRIAN JAYA"
1917.0,6.0,26.0,5.0,49.0,42.0,1446.0,,SAMOA ISLANDS,-15.5,-173.0,25.0,8.3,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,2.0,,3.0,,,BC,191,20,SAMOA ISLANDS,"Year: 1917 
  Location: SAMOA ISLANDS"
1918.0,8.0,15.0,12.0,18.0,12.0,1456.0,,PHILIPPINES:  MINDANAO:  COTABATO,5.5,123.0,33.0,8.3,10.0,46.0,1.0,,,,,,3.0,,,,,52.0,2.0,,,,,,3.0,,,,,BC,191,20,PHILIPPINES,"Year: 1918 
  Location: PHILIPPINES:  MINDANAO:  COTABATO"
1919.0,1.0,1.0,2.0,59.0,57.0,1464.0,,FIJI ISLANDS,-19.5,-176.5,180.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,BC,191,20,FIJI ISLANDS,"Year: 1919 
  Location: FIJI ISLANDS"
1920.0,12.0,16.0,12.0,5.0,54.7,3541.0,,"CHINA:  GANSU PROVINCE, SHANXI PROVINCE",36.601,105.31700000000001,25.0,8.3,12.0,200000.0,4.0,,,,,25.0,4.0,,,,,200000.0,4.0,,,,,25.0,4.0,,,,,BC,192,20,CHINA,"Year: 1920 
  Location: CHINA:  GANSU PROVINCE, SHANXI PROVINCE"
1921.0,11.0,15.0,20.0,36.0,0.0,,,AFGHANISTAN:  HINDU KUSH,36.5,70.5,215.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,BC,192,20,AFGHANISTAN,"Year: 1921 
  Location: AFGHANISTAN:  HINDU KUSH"
1922.0,11.0,11.0,4.0,32.0,36.0,1505.0,,CHILE:  ATACAMA,-28.553,-70.755,35.0,8.7,11.0,500.0,3.0,,,,,,3.0,,3.0,,,700.0,3.0,,,,,,3.0,,3.0,,,BC,192,20,CHILE,"Year: 1922 
  Location: CHILE:  ATACAMA"
1923.0,2.0,3.0,16.0,1.0,41.0,1508.0,,RUSSIA:  KAMCHATKA,54.0,161.0,19.0,8.3,11.0,,,,,,,,1.0,,1.0,,,3.0,1.0,,,,,1.5,2.0,,2.0,,,BC,192,20,RUSSIA,"Year: 1923 
  Location: RUSSIA:  KAMCHATKA"
1924.0,4.0,14.0,16.0,20.0,23.0,1536.0,,"PHILIPPINES: E MINDANAO: MATI,SURIGA",6.5,126.5,33.0,8.3,9.0,,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,3.0,,,BC,192,20,PHILIPPINES,"Year: 1924 
  Location: PHILIPPINES: E MINDANAO: MATI,SURIGA"
1925.0,3.0,22.0,8.0,41.0,0.0,,,VANUATU ISLANDS,-18.5,168.5,50.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,BC,192,20,VANUATU ISLANDS,"Year: 1925 
  Location: VANUATU ISLANDS"
1926.0,6.0,26.0,19.0,46.0,34.0,,,GREECE:  RHODES ISLAND; LOWER EGYPT,36.5,27.5,100.0,7.9,11.0,,2.0,,,,,,3.0,,,,,,2.0,,,,,,3.0,,,,,BC,192,20,GREECE,"Year: 1926 
  Location: GREECE:  RHODES ISLAND; LOWER EGYPT"
1927.0,5.0,22.0,22.0,32.0,42.0,,,CHINA:  GANSU PROVINCE,36.75,102.0,27.0,7.6,11.0,40912.0,4.0,,,524.0,3.0,,4.0,26674.0,4.0,,,40912.0,4.0,,,524.0,3.0,,4.0,26674.0,4.0,,,BC,192,20,CHINA,"Year: 1927 
  Location: CHINA:  GANSU PROVINCE"
1928.0,3.0,9.0,18.0,5.0,27.0,,,INDIAN OCEAN:  S,-2.5,88.5,33.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,BC,192,20,INDIAN OCEAN,"Year: 1928 
  Location: INDIAN OCEAN:  S"
1929.0,3.0,7.0,1.0,34.0,0.0,1613.0,,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.0,-170.0,50.0,7.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,BC,192,20,ALASKA,"Year: 1929 
  Location: ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS"
1930.0,5.0,6.0,22.0,34.0,0.0,,,IRAN:  SALMAS,38.1,44.7,30.0,7.5,,1360.0,4.0,,,,,,,,,,,,,,,,,,,,,,,BC,193,20,IRAN,"Year: 1930 
  Location: IRAN:  SALMAS"
1931.0,8.0,10.0,21.0,18.0,43.0,,,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  N,47.1,89.8,25.0,8.0,11.0,10000.0,4.0,,,,,,4.0,,4.0,,,10000.0,4.0,,,,,,4.0,,4.0,,,BC,193,20,CHINA,"Year: 1931 
  Location: CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  N"
1932.0,6.0,3.0,10.0,36.0,58.9,1649.0,,MEXICO:  NEAR COAST OF JALISCO,19.623,-103.919,35.0,8.1,10.0,400.0,3.0,,,120.0,3.0,,3.0,,3.0,,,400.0,3.0,,,120.0,3.0,,3.0,,3.0,,,BC,193,20,MEXICO,"Year: 1932 
  Location: MEXICO:  NEAR COAST OF JALISCO"
1933.0,3.0,2.0,17.0,31.0,0.9,1661.0,,JAPAN:  SANRIKU,39.224000000000004,144.622,35.0,8.4,,,,,,,,,,,3.0,,,3022.0,4.0,,,,,,4.0,6000.0,4.0,,,BC,193,20,JAPAN,"Year: 1933 
  Location: JAPAN:  SANRIKU"
1934.0,1.0,15.0,8.0,43.0,25.0,1668.0,,NEPAL; INDIA:  BIHAR,26.773000000000003,86.762,35.0,8.0,11.0,10600.0,4.0,,,,,,4.0,,4.0,,4.0,10600.0,4.0,,,,,,4.0,,4.0,,,BC,193,20,NEPAL; INDIA,"Year: 1934 
  Location: NEPAL; INDIA:  BIHAR"
